web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,score,1 gap,0.5 gap,0.25 gap,category_link,category_link-href,,
1709106741,https://us.shein.com/,SHEIN LUNE Women Valentine's Day Family Matching Heart Print Short Sleeve Casual T-Shirt,https://us.shein.com/SHEIN-LUNE-Women-Valentine-s-Day-Family-Matching-Heart-Print-Short-Sleeve-Casual-T-Shirt-p-28273176-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106753,https://us.shein.com/,DAZY Solid Color Short Cut Padded Jacket With Stand Collar,https://us.shein.com/DAZY-Solid-Color-Short-Cut-Padded-Jacket-With-Stand-Collar-p-26914405-cat-3052.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.94,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106761,https://us.shein.com/,SHEIN LUNE Family Matching Chinese New Year Letter & Number Printed Short Sleeve T-Shirt With Round Neckline,https://us.shein.com/SHEIN-LUNE-Family-Matching-Chinese-New-Year-Letter-Number-Printed-Short-Sleeve-T-Shirt-With-Round-Neckline-p-27045029-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106773,https://us.shein.com/,"SHEIN Slayr Valentine's Day Dress, Music Festival, Holiday, Date: Elegant And Sexy Girl's Worship Black Mesh Sparkling Rhinestone Tank Top And Skirt Set",https://us.shein.com/SHEIN-Slayr-Valentine-s-Day-Dress-Music-Festival-Holiday-Date-Elegant-And-Sexy-Girl-s-Worship-Black-Mesh-Sparkling-Rhinestone-Tank-Top-And-Skirt-Set-p-27232731-cat-1780.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.35,4 ,4.5 ,4.50 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106785,https://us.shein.com/,"SHEIN EZwear Women's Casual High Waisted Thick Leggings With Letter Print, Autumn/Winter",https://us.shein.com/SHEIN-EZwear-Women-s-Casual-High-Waisted-Thick-Leggings-With-Letter-Print-Autumn-Winter-p-26706511-cat-1871.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106814,https://us.shein.com/,SHEIN LUNE 1pc Women's Casual Cartoon Printed Valentine's Day Round Neck Short Sleeve T-Shirt,https://us.shein.com/SHEIN-LUNE-1pc-Women-s-Casual-Cartoon-Printed-Valentine-s-Day-Round-Neck-Short-Sleeve-T-Shirt-p-28865154-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106823,https://us.shein.com/,SHEIN LUNE Valentine's Day Love Pattern Simple Slogan Family Matching Women T-Shirt,https://us.shein.com/SHEIN-LUNE-Valentine-s-Day-Love-Pattern-Simple-Slogan-Family-Matching-Women-T-Shirt-p-28483263-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106833,https://us.shein.com/,DAZY Solid Zip Up Winter Pockets Coat,https://us.shein.com/DAZY-Solid-Zip-Up-Winter-Pockets-Coat-p-2986258-cat-3052.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.93,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106844,https://us.shein.com/,DAZY High Collar Solid Color Inner Fleece Long Sleeve T-shirt,https://us.shein.com/DAZY-High-Collar-Solid-Color-Inner-Fleece-Long-Sleeve-T-shirt-p-26828117-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.95,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106854,https://us.shein.com/,Elvis Presley X SHEIN Allover Print Cropped T-Shirt,https://us.shein.com/Elvis-Presley-X-SHEIN-Allover-Print-Cropped-T-Shirt-p-26605501-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.94,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
